"name","avg_partnum"
"Spider-Man 2","94.50"
"Legoland","95.13"
"Ninja","95.32"
"Knights Kingdom II","96.51"
"Fire","96.58"
"Minitalia","98.31"
"Promotional","100.00"
"Thanksgiving","100.67"
"Technic","100.80"
"Hospital","102.00"
"Star Wars Expanded Universe","102.00"
"Creator","102.44"
"Space Port","103.14"
"Fire","104.29"
"Ice Planet 2002","106.18"
"Speedorz","106.96"
"Outback","107.60"
"Police","107.63"
"Friends","107.80"
"Hospital","108.22"
"Desert","108.31"
"Crusaders","109.00"
"Star Wars Episode 2","109.00"
"Hospital","109.67"
"Legoland Parks","111.30"
"Legend Beasts","111.60"
"Supplemental","112.82"
"Food & Drink","113.07"
"Gas Station","113.43"
"Star Wars Episode 8","115.00"
"Gears","115.11"
"Police","115.50"
"Classic Space","116.73"
"Traffic","117.31"
"Brickheadz","119.71"
"Space Police II","121.75"
"Coast Guard","122.50"
"Fire","123.00"
"Gas Station","123.50"
"Wolfpack","124.67"
"Knights Kingdom I","125.00"
"Bionicle","126.50"
"Harbor","127.00"
"Lion Knights","127.00"
"Building Set with People","127.13"
"Jungle","128.20"
"Tiny Turbos","128.57"
"Superman","129.00"
"Futuron","129.05"
"Hospital","129.57"
"Building","131.25"
"Spyrius","131.89"
"Airjitzu","132.00"
"Paradisa","132.06"
"Playhouse","132.64"
"Power Racers","132.96"
"Traffic","133.02"
"Building","133.62"
"Boat","134.33"
"Juniors","134.45"
"Res-Q","134.90"
"Christmas","134.98"
"Pirates","137.33"
"Cargo","137.50"
"Iron Man","137.60"
"Airport","140.50"
"Aquanauts","140.50"
"Fire","140.52"
"Black Knights","143.93"
"EV3","144.00"
"Skull Spiders","145.00"
"Castle","145.00"
"Speed Slammers","147.50"
"Justice League","149.27"
"Royal Knights","149.44"
"Homemaker","149.63"
"Alpha Team","150.33"
"City","152.22"
"Indians","152.22"
"Pirates I","154.95"
"Titans","155.59"
"Robot","157.00"
"Classic","159.33"
"M:Tron","159.89"
"RCX","162.55"
"Fire","162.92"
"Sorcerer's Stone","163.14"
"Castle","164.40"
"Police","165.43"
"Forestmen","168.00"
"Fire","169.50"
"Nexo Knights","170.26"
"Jurassic Park III","171.50"
"Station","174.15"
"Coast Guard","174.39"
"Friends","176.61"
"4.5V","176.67"
"Aquaraiders I","178.00"
"Warriors","178.29"
"Riding Cycle","178.54"
"Stingrays","179.00"
"X-Men","179.67"
"Bricktober","180.63"
"Police","182.03"
"Exploriens","183.56"
"Radio Control","185.46"
"Spider-Man","186.44"
"Star Wars Episode 1","187.00"
"Police","188.43"
"Power Miners","189.83"
"Farm","191.63"
"World City","193.14"
"Time Cruisers","193.89"
"Harbor","196.00"
"Super Heroes","197.04"
"Cowboys","197.23"
"Supplemental","198.50"
"Other","199.38"
"Airport","200.34"
"Harbor","201.94"
"Harbor","202.00"
"Coast Guard","202.67"
"Off-Road","203.33"
"Hydronauts","203.40"
"Toy Story","204.53"
"Cars","204.63"
"Islanders","205.00"
"Basic","205.81"
"Pharaoh's Quest","206.89"
"Black Falcons","208.00"
"Launch Command","208.33"
"Space Police I","211.33"
"Ninjago","213.90"
"Imperial Soldiers","214.33"
"Disney Princess","214.96"
"Construction","215.80"
"Exo-Force","215.83"
"Prisoner of Azkaban","217.73"
"Imperial Armada","219.00"
